Raman Shift ; Raw Data #1
400.0000;18819.6800
401.0000;18792.8700
402.0000;18767.3100
403.0000;18692.4400
404.0000;18620.7400
405.0000;18563.7200
406.0000;18550.3500
407.0000;18584.2400
408.0000;18654.9700
409.0000;18668.2900
410.0000;18576.6700
411.0000;18466.1900
412.0000;18426.5000
413.0000;18421.4800
414.0000;18386.5600
415.0000;18331.3200
416.0000;18244.9200
417.0000;18138.9300
418.0000;18054.0200
419.0000;18014.6100
420.0000;18010.3700
421.0000;18007.7500
422.0000;17989.3500
423.0000;17870.7400
424.0000;17685.2800
425.0000;17573.0900
426.0000;17605.3500
427.0000;17659.7500
428.0000;17610.4900
429.0000;17540.8400
430.0000;17521.6300
431.0000;17525.7700
432.0000;17460.1100
433.0000;17327.6600
434.0000;17247.8100
435.0000;17281.4600
436.0000;17316.8800
437.0000;17212.9200
438.0000;17090.2700
439.0000;17084.5500
440.0000;17167.0700
441.0000;17168.0100
442.0000;17053.8200
443.0000;16967.2200
444.0000;17000.0600
445.0000;17061.3100
446.0000;17046.6500
447.0000;17005.2800
448.0000;16996.5300
449.0000;17019.0600
450.0000;17031.0400
451.0000;17021.9400
452.0000;17024.8300
453.0000;17064.9700
454.0000;17100.7000
455.0000;17080.6600
456.0000;17039.9400
457.0000;17055.8800
458.0000;17124.1900
459.0000;17160.8600
460.0000;17135.1600
461.0000;17120.0000
462.0000;17173.0900
463.0000;17244.6300
464.0000;17301.2500
465.0000;17322.2200
466.0000;17297.0600
467.0000;17231.6900
468.0000;17209.0300
469.0000;17264.6900
470.0000;17331.3200
471.0000;17353.6000
472.0000;17344.9700
473.0000;17309.9200
474.0000;17278.3000
475.0000;17320.0800
476.0000;17434.9100
477.0000;17555.6600
478.0000;17644.1600
479.0000;17682.4300
480.0000;17672.2800
481.0000;17628.2000
482.0000;17619.7000
483.0000;17636.6500
484.0000;17665.1700
485.0000;17697.5000
486.0000;17716.4300
487.0000;17709.4600
488.0000;17711.1500
489.0000;17756.7600
490.0000;17804.9200
491.0000;17813.5400
492.0000;17793.0400
493.0000;17799.3800
494.0000;17823.2300
495.0000;17796.9600
496.0000;17701.6800
497.0000;17617.7400
498.0000;17613.2500
499.0000;17641.3100
500.0000;17627.7500
501.0000;17593.0800
502.0000;17542.0600
503.0000;17491.8700
504.0000;17474.7700
505.0000;17504.8300
